9283,1149,1896,1043,756,598,768,726,718,1034,432,575,464,275,116,164,39,87,26,36,19,0,52,0,72,0,5,22,7,27,22,0,37,5,5,10,6,196,49,188,0,14,121,54,12,560,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,71,0,4,38,21,0,0,0,0
73140,18460,7333,3145,8202,10901,357,5133,5830,6242,5306,8349,1505,495,2362,1203,1287,691,39,154,227,0,2159,40,294,57,135,335,86,242,506,0,40,91,32,107,94,74,171,0,0,24,496,346,7,1430,19,0,28,25,5,0,0,0,0,0,0,82,0,0,0,52,4,0,87,89,10,0,0,0
12188,10726,7064,4647,2301,884,1859,1336,1537,2273,1206,331,945,989,459,212,31,242,80,2,280,0,60,11,105,16,23,408,55,22,44,54,27,1,289,38,55,12,4,1,0,0,36,55,0,194,4,0,1,30,14,0,0,0,0,0,0,22,0,8,0,13,8,0,0,32,6,0,0,0
33865,22490,12247,7304,2093,4126,4171,3815,2425,2807,1419,1543,2339,1180,258,605,117,1186,208,37,43,0,163,40,1086,65,47,66,307,351,186,0,164,5,66,115,75,45,980,914,0,53,86,61,1,2,27,0,2,78,17,0,0,0,0,0,0,11,0,0,1,63,4,0,21,33,45,0,0,0
217,224,69,59,68,23,76,28,34,30,31,20,19,33,13,41,28,4,4,0,4,0,12,0,14,0,1,5,6,6,22,0,18,2,0,0,0,0,2,0,0,0,5,5,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0
5758,3415,1237,983,915,446,1141,531,698,392,458,318,397,526,413,163,110,347,62,3,32,1,145,563,100,678,37,78,103,66,224,95,420,0,11,9,56,6,7,0,0,0,21,70,0,148,187,0,12,21,14,0,0,0,0,0,0,1,0,0,0,127,39,2,0,4,72,0,0,0
3937,173,538,286,360,424,254,489,364,368,234,347,144,151,59,0,162,63,10,20,18,0,34,60,0,90,12,18,6,83,39,0,4,10,17,16,34,2,44,6,0,6,43,30,7,2,19,0,25,0,0,0,0,0,0,0,0,5,0,0,1,9,7,0,24,2,10,0,0,0
9070,2995,2788,255,228,131,1438,1286,1361,642,128,343,878,629,29,19,18,16,16,0,3,7,5,179,25,126,14,4,12,6,4,0,6,2,2,1,2,3,4,0,0,0,3,16,0,19,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4,0,0,0
7132,1472,403,477,1250,2170,719,414,746,424,265,443,306,343,352,308,1191,134,119,275,42,0,151,74,95,85,536,30,246,257,115,12,5,48,30,75,435,1,24,0,0,15,15,5,0,5,21,0,44,76,8,0,0,0,0,0,0,28,0,0,7,27,5,3,1,1,17,0,0,0
26709,21911,7724,4128,3679,3546,6092,4268,4189,3293,2485,676,2140,2418,1246,872,131,519,271,15,190,0,418,2955,348,2683,161,237,691,386,198,439,416,0,165,166,24,31,52,0,0,1,110,290,0,667,1066,0,2,24,21,0,0,0,0,0,0,2,0,0,0,32,201,0,3,21,222,0,0,0
5255,2804,1310,865,825,691,937,396,372,438,359,240,413,352,144,113,71,110,29,7,107,0,48,20,67,31,1,169,40,33,15,12,4,0,10,10,57,6,14,0,0,1,13,70,0,6,7,0,18,16,0,0,0,0,0,0,0,22,0,0,6,19,5,2,1,3,6,0,0,0
11784,8105,2684,1353,1857,2446,1314,556,987,2488,581,552,449,799,304,473,15,61,241,507,31,0,146,0,87,5,17,41,183,226,155,0,8,0,8,19,29,4,75,0,0,0,33,21,0,430,0,0,0,86,48,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,5,0,0,0
677,716,434,153,143,62,209,106,98,130,70,39,59,66,17,34,4,17,6,2,20,0,1,0,5,0,0,26,6,14,0,0,0,0,9,6,5,4,0,0,0,0,6,6,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1471,2399,900,357,363,81,260,209,288,190,219,81,92,233,55,99,7,9,11,0,0,0,2,11,47,5,3,4,22,16,5,8,12,1,18,21,1,42,10,0,0,0,6,11,0,43,5,0,0,11,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,4,0,0,0
923,765,431,290,60,103,170,72,60,126,54,71,80,111,11,1,1,2,10,1,6,0,1,0,0,0,4,3,2,5,1,0,0,1,1,0,3,0,1,0,0,2,5,0,0,2,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1405,2027,868,176,567,149,174,229,335,285,300,111,82,129,127,124,43,55,23,13,35,0,39,0,60,0,22,30,32,16,33,0,4,0,14,19,8,3,15,0,0,0,9,17,0,23,0,0,0,6,6,0,0,0,0,0,0,4,0,0,0,5,0,0,3,7,0,0,0,0
2770,2121,899,438,1005,358,684,494,670,482,618,172,331,351,183,405,90,207,26,5,29,0,28,0,149,0,30,69,46,50,64,9,42,3,35,32,21,4,35,0,0,0,30,43,2,60,0,0,0,21,18,0,0,0,0,0,0,2,0,4,0,19,0,0,1,12,0,0,0,0
10776,16313,9111,7122,961,803,905,552,562,1039,459,480,632,303,404,82,6,218,450,302,0,432,0,118,14,129,4,0,8,39,1,268,15,3,103,262,11,20,26,0,0,0,0,2,0,216,8,0,0,12,1,0,0,0,0,0,0,0,0,0,0,15,10,0,0,14,43,0,0,0
655,465,149,35,13,65,119,38,27,72,14,16,94,48,15,18,5,3,4,0,2,0,0,11,2,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,3,0,0,0
4317,2680,1528,1041,274,434,324,74,178,400,125,139,255,226,10,1,96,5,5,27,26,0,7,0,0,0,38,4,0,6,6,0,0,0,1,1,0,1,0,0,0,0,12,9,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
3289,1562,1312,828,234,383,195,67,160,319,138,71,212,23,49,2,67,27,8,9,3,0,4,3,0,0,5,1,0,6,6,0,0,0,12,24,0,1,4,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
102046,77898,37470,22652,16536,13351,30891,15158,15169,8556,8806,5965,7869,10844,5093,3017,1543,2154,358,199,1005,0,568,22,589,48,421,2424,590,539,1108,539,86,721,339,251,836,338,457,406,6,345,1005,465,75,0,0,552,8,470,265,57,148,0,680,0,0,385,0,0,5,77,1,354,236,160,1,51,0,0
2976,2320,546,412,769,317,406,485,674,335,365,239,133,335,270,201,142,105,39,11,15,0,46,0,102,0,46,57,44,49,57,88,70,0,19,44,36,7,22,0,0,0,8,49,0,70,0,0,0,61,61,0,0,0,0,0,0,2,0,0,0,19,0,0,0,12,0,0,0,0
350,226,116,25,47,92,45,72,55,59,35,15,22,40,24,31,25,10,4,0,5,0,1,0,12,0,16,3,11,20,4,0,6,0,9,1,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7596,2766,1033,613,76,509,993,411,373,227,87,210,796,700,398,16,282,33,4,2,4,0,100,10,165,10,1,2,2,3,30,0,21,0,2,2,105,12,3,0,0,2,5,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0
1838,1088,538,317,407,228,394,237,249,223,161,252,182,163,78,124,151,119,9,3,131,0,117,13,17,26,41,35,18,17,110,4,4,2,11,7,7,5,14,6,0,0,16,4,1,32,0,0,9,2,0,0,0,0,0,0,0,10,0,0,0,3,1,2,12,2,0,0,0,0
2498,4032,1375,959,565,104,573,463,586,441,344,130,279,294,175,87,14,35,25,3,6,0,4,0,60,0,6,11,72,29,13,8,13,5,33,31,2,16,9,0,0,0,9,14,0,91,0,0,0,9,8,0,0,0,0,0,0,2,0,0,0,3,0,0,2,6,0,0,0,0
2352,1126,678,139,84,289,286,302,209,318,123,42,407,48,27,45,3,42,11,0,6,0,2,74,17,64,0,3,8,12,0,0,4,0,0,1,0,1,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
9067,7889,4103,1786,1291,619,1858,1220,1455,2018,855,377,1224,573,498,159,54,268,48,48,39,0,29,2,162,1,13,40,64,44,102,4,109,0,38,40,12,14,24,0,0,0,55,34,0,240,0,0,0,6,3,0,0,0,0,0,0,15,0,0,0,43,0,0,0,15,0,0,0,0
